sensor_ID,County,stcofips,omb,medinc,unemp,pz
1469,Alexander,37003,Urban outlying,Middle income,Lower unemployment,Northwest
30171,Avery,37011,Not urban,Lower income,Lower unemployment,Northwest
12286,Brunswick,37019,Urban center,Higher income,Moderate unemployment,Southeast
36189,Brunswick,37019,Urban center,Higher income,Moderate unemployment,Southeast
48459,Buncombe,37021,Urban center,Higher income,Lower unemployment,Western
3657,Buncombe,37021,Urban center,Higher income,Lower unemployment,Western
1330,Buncombe,37021,Urban center,Higher income,Lower unemployment,Western
57965,Buncombe,37021,Urban center,Higher income,Lower unemployment,Western
1491,Cabarrus,37025,Urban outlying,Higher income,Lower unemployment,Southwest
38917,Caswell,37033,Not urban,Middle income,Moderate unemployment,Piedmont Triad
6268,Chatham,37037,Urban center,Higher income,Lower unemployment,North Central
5872,Chatham,37037,Urban center,Higher income,Lower unemployment,North Central
47519,Chatham,37037,Urban center,Higher income,Lower unemployment,North Central
47629,Chatham,37037,Urban center,Higher income,Lower unemployment,North Central
32481,Chatham,37037,Urban center,Higher income,Lower unemployment,North Central
6020,Cherokee,37039,Not urban,Middle income,Moderate unemployment,Western
12296,Chowan,37041,Not urban,Middle income,Moderate unemployment,Northeast
36451,Clay,37043,Not urban,Lower income,Moderate unemployment,Western
50839,Craven,37049,Urban center,Higher income,Moderate unemployment,Southeast
3050,Cumberland,37051,Urban center,Middle income,Moderate unemployment,Sandhills
12292,Dare,37055,Urban center,Higher income,Moderate unemployment,Northeast
7906,Duplin,37061,Not urban,Lower income,Moderate unemployment,Southeast
47495,Durham,37063,Urban center,Higher income,Lower unemployment,North Central
45621,Durham,37063,Urban center,Higher income,Lower unemployment,North Central
28145,Durham,37063,Urban center,Higher income,Lower unemployment,North Central
757,Durham,37063,Urban center,Higher income,Lower unemployment,North Central
53097,Durham,37063,Urban center,Higher income,Lower unemployment,North Central
9724,Durham,37063,Urban center,Higher income,Lower unemployment,North Central
48745,Durham,37063,Urban center,Higher income,Lower unemployment,North Central
36013,Durham,37063,Urban center,Higher income,Lower unemployment,North Central
35839,Durham,37063,Urban center,Higher income,Lower unemployment,North Central
48415,Durham,37063,Urban center,Higher income,Lower unemployment,North Central
47487,Durham,37063,Urban center,Higher income,Lower unemployment,North Central
47559,Durham,37063,Urban center,Higher income,Lower unemployment,North Central
47465,Durham,37063,Urban center,Higher income,Lower unemployment,North Central
47621,Durham,37063,Urban center,Higher income,Lower unemployment,North Central
60029,Durham,37063,Urban center,Higher income,Lower unemployment,North Central
2873,Durham,37063,Urban center,Higher income,Lower unemployment,North Central
54093,Durham,37063,Urban center,Higher income,Lower unemployment,North Central
50619,Durham,37063,Urban center,Higher income,Lower unemployment,North Central
12787,Edgecombe,37065,Urban center,Lower income,Higher unemployment,North Central
12823,Edgecombe,37065,Urban center,Lower income,Higher unemployment,North Central
6008,Forsyth,37067,Urban center,Higher income,Lower unemployment,Piedmont Triad
52725,Forsyth,37067,Urban center,Higher income,Lower unemployment,Piedmont Triad
12697,Forsyth,37067,Urban center,Higher income,Lower unemployment,Piedmont Triad
6006,Gaston,37071,Urban outlying,Middle income,Lower unemployment,Southwest
1132,Graham,37075,Not urban,Lower income,Moderate unemployment,Western
12759,Guilford,37081,Urban center,Higher income,Moderate unemployment,Piedmont Triad
12785,Halifax,37083,Urban center,Lower income,Higher unemployment,Northeast
1326,Haywood,37087,Urban center,Middle income,Lower unemployment,Western
1138,Henderson,37089,Urban center,Higher income,Lower unemployment,Western
33373,Henderson,37089,Urban center,Higher income,Lower unemployment,Western
55111,Hoke,37093,Urban center,Middle income,Moderate unemployment,Sandhills
38871,Iredell,37097,Urban center,Higher income,Lower unemployment,Southwest
47595,Johnston,37101,Urban center,Higher income,Lower unemployment,North Central
47615,Johnston,37101,Urban center,Higher income,Lower unemployment,North Central
12801,Jones,37103,Urban outlying,Lower income,Moderate unemployment,Southeast
12835,Lincoln,37109,Urban outlying,Higher income,Lower unemployment,Southwest
1334,Macon,37113,Not urban,Middle income,Lower unemployment,Western
1445,Madison,37115,Urban outlying,Middle income,Lower unemployment,Western
1427,Mecklenburg,37119,Urban center,Higher income,Lower unemployment,Southwest
12725,Mecklenburg,37119,Urban center,Higher income,Lower unemployment,Southwest
12723,Mecklenburg,37119,Urban center,Higher income,Lower unemployment,Southwest
12721,Mecklenburg,37119,Urban center,Higher income,Lower unemployment,Southwest
12703,Mecklenburg,37119,Urban center,Higher income,Lower unemployment,Southwest
20809,Mecklenburg,37119,Urban center,Higher income,Lower unemployment,Southwest
12867,Mecklenburg,37119,Urban center,Higher income,Lower unemployment,Southwest
6022,Mecklenburg,37119,Urban center,Higher income,Lower unemployment,Southwest
6028,Mecklenburg,37119,Urban center,Higher income,Lower unemployment,Southwest
20521,Mecklenburg,37119,Urban center,Higher income,Lower unemployment,Southwest
46509,Mecklenburg,37119,Urban center,Higher income,Lower unemployment,Southwest
5988,Nash,37127,Urban center,Middle income,Moderate unemployment,North Central
1441,New Hanover,37129,Urban center,Higher income,Lower unemployment,Southeast
6168,New Hanover,37129,Urban center,Higher income,Lower unemployment,Southeast
49413,Orange,37135,Urban center,Higher income,Lower unemployment,North Central
21267,Orange,37135,Urban center,Higher income,Lower unemployment,North Central
47485,Orange,37135,Urban center,Higher income,Lower unemployment,North Central
47513,Orange,37135,Urban center,Higher income,Lower unemployment,North Central
47517,Orange,37135,Urban center,Higher income,Lower unemployment,North Central
47623,Orange,37135,Urban center,Higher income,Lower unemployment,North Central
38875,Pender,37141,Urban outlying,Higher income,Moderate unemployment,Southeast
12815,Person,37145,Urban outlying,Middle income,Moderate unemployment,North Central
6130,Pitt,37147,Urban center,Middle income,Moderate unemployment,Northeast
68225,Robeson,37155,Urban center,Lower income,Moderate unemployment,Sandhills
53383,Rockingham,37157,Urban outlying,Middle income,Moderate unemployment,Piedmont Triad
38873,Rockingham,37157,Urban outlying,Middle income,Moderate unemployment,Piedmont Triad
52885,Rowan,37159,Urban outlying,Middle income,Moderate unemployment,Southwest
1354,Stanly,37167,Urban center,Middle income,Lower unemployment,Southwest
6112,Stanly,37167,Urban center,Middle income,Lower unemployment,Southwest
12747,Transylvania,37175,Urban center,Middle income,Lower unemployment,Western
6004,Transylvania,37175,Urban center,Middle income,Lower unemployment,Western
39969,Union,37179,Urban center,Higher income,Lower unemployment,Southwest
11194,Wake,37183,Urban center,Higher income,Lower unemployment,North Central
28147,Wake,37183,Urban center,Higher income,Lower unemployment,North Central
28115,Wake,37183,Urban center,Higher income,Lower unemployment,North Central
11184,Wake,37183,Urban center,Higher income,Lower unemployment,North Central
15587,Wake,37183,Urban center,Higher income,Lower unemployment,North Central
15591,Wake,37183,Urban center,Higher income,Lower unemployment,North Central
15593,Wake,37183,Urban center,Higher income,Lower unemployment,North Central
37403,Wake,37183,Urban center,Higher income,Lower unemployment,North Central
11190,Wake,37183,Urban center,Higher income,Lower unemployment,North Central
5996,Wake,37183,Urban center,Higher income,Lower unemployment,North Central
6012,Wake,37183,Urban center,Higher income,Lower unemployment,North Central
4329,Wake,37183,Urban center,Higher income,Lower unemployment,North Central
11180,Wake,37183,Urban center,Higher income,Lower unemployment,North Central
55773,Wake,37183,Urban center,Higher income,Lower unemployment,North Central
57681,Wake,37183,Urban center,Higher income,Lower unemployment,North Central
2737,Wake,37183,Urban center,Higher income,Lower unemployment,North Central
37781,Wake,37183,Urban center,Higher income,Lower unemployment,North Central
47457,Wake,37183,Urban center,Higher income,Lower unemployment,North Central
47475,Wake,37183,Urban center,Higher income,Lower unemployment,North Central
47477,Wake,37183,Urban center,Higher income,Lower unemployment,North Central
47479,Wake,37183,Urban center,Higher income,Lower unemployment,North Central
47481,Wake,37183,Urban center,Higher income,Lower unemployment,North Central
47493,Wake,37183,Urban center,Higher income,Lower unemployment,North Central
47459,Wake,37183,Urban center,Higher income,Lower unemployment,North Central
47497,Wake,37183,Urban center,Higher income,Lower unemployment,North Central
47499,Wake,37183,Urban center,Higher income,Lower unemployment,North Central
47505,Wake,37183,Urban center,Higher income,Lower unemployment,North Central
47521,Wake,37183,Urban center,Higher income,Lower unemployment,North Central
47529,Wake,37183,Urban center,Higher income,Lower unemployment,North Central
47463,Wake,37183,Urban center,Higher income,Lower unemployment,North Central
47555,Wake,37183,Urban center,Higher income,Lower unemployment,North Central
47581,Wake,37183,Urban center,Higher income,Lower unemployment,North Central
47469,Wake,37183,Urban center,Higher income,Lower unemployment,North Central
47641,Wake,37183,Urban center,Higher income,Lower unemployment,North Central
47617,Wake,37183,Urban center,Higher income,Lower unemployment,North Central
47633,Wake,37183,Urban center,Higher income,Lower unemployment,North Central
25561,Wake,37183,Urban center,Higher income,Lower unemployment,North Central
11644,Wake,37183,Urban center,Higher income,Lower unemployment,North Central
31619,Wake,37183,Urban center,Higher income,Lower unemployment,North Central
47483,Wake,37183,Urban center,Higher income,Lower unemployment,North Central
11632,Wake,37183,Urban center,Higher income,Lower unemployment,North Central
11174,Wake,37183,Urban center,Higher income,Lower unemployment,North Central
54095,Wake,37183,Urban center,Higher income,Lower unemployment,North Central
11162,Wake,37183,Urban center,Higher income,Lower unemployment,North Central
12775,Washington,37187,Not urban,Lower income,Moderate unemployment,Northeast
5846,Watauga,37189,Urban center,Middle income,Lower unemployment,Northwest
12691,Wayne,37191,Urban center,Middle income,Moderate unemployment,Southeast
12807,Wayne,37191,Urban center,Middle income,Moderate unemployment,Southeast
12689,Wilkes,37193,Urban center,Middle income,Lower unemployment,Northwest
31261,Yancey,37199,Not urban,Lower income,Lower unemployment,Northwest
12799,,0,,,,
38797,,0,,,,
